Classifier,feature selection,sampling,cost sensitive,feature selection id,precision,recall,auc,kappa
mlp,false,false,false,,0.0,0.0,0.0,0.0
mlp,false,false,true,,0.0,0.0,0.0,0.0
mlp,false,false,false,,0.11200759373516848,0.0504704875962361,0.5210171751463893,-0.023120868403835097
mlp,false,false,true,,0.15371621621621623,0.7200598802395209,0.5215658735115221,0.0170642443751156
mlp,false,false,true,,0.17457382520068548,0.8278443113772455,0.579730657003259,0.06249584889044214
mlp,false,false,true,,0.12788830715532287,0.3917878528656972,0.467786272328262,-0.03472095580880867
rf,false,false,false,,0.0,0.0,0.0,0.0
rf,false,false,true,,0.0,0.0,0.0,0.0
rf,false,false,false,,0.18522860492379836,0.16894781864841746,0.4719286503679757,0.043639264331349216
rf,false,false,true,,0.15223097112860892,0.45893926432848586,0.5112582678639216,0.012268174178740631
rf,false,false,true,,0.11102618001146569,0.49700598802395207,0.40874254995705345,-0.07475761616546664
rf,false,false,true,,0.13345576981940618,0.4662104362703165,0.47465137647579514,-0.024927284891358033
sgd,false,false,false,,0.0,0.0,0.0,0.0
sgd,false,false,true,,0.0,0.0,0.0,0.0
sgd,false,false,false,,NaN,0.0,0.5,0.0
sgd,false,false,true,,NaN,0.0,0.5,0.0
sgd,false,false,true,,0.03496503496503497,0.07698887938408897,0.35707463250536614,-0.1907800277815154
sgd,false,false,true,,0.02904191616766467,0.06223267750213858,0.35347611088078007,-0.1988310297146044
mlp,false,true,false,,0.1256544502617801,0.0718562874251497,0.5171991882330244,-0.016440518041951936
sgd,false,true,false,,0.03496503496503497,0.07698887938408897,0.35707463250536614,-0.1907800277815154
rf,false,true,false,,0.2285964912280702,0.2786569717707442,0.45733075682240126,0.10825902701489067
mlp,false,false,false,,0.1399056603773585,0.3171514114627887,0.47735418030222265,-0.010345776746840063
mlp,true,false,false,FS_R4_1,0.15125028501938131,0.4255774165953807,0.5661069872274982,0.01015092845905058
sgd,false,false,false,,0.02904191616766467,0.06223267750213858,0.35347611088078007,-0.1988310297146044
sgd,true,false,false,FS_R4_1,0.11825469414106633,0.47005988023952094,0.4357858559830383,-0.05750115392652965
rf,false,false,false,,0.2155559898377956,0.23588537211291702,0.4686223365213982,0.08594276017221128
rf,true,false,false,FS_R4_1,0.023623110151187905,0.0374251497005988,0.3887455814863325,-0.1824976931691405
mlp,true,false,false,FS_R4_1,0.3194859533771668,0.2286142001710864,0.5807440849489203,0.16491171008670974
mlp,true,false,true,FS_R4_1,0.1108121465048597,0.4315654405474765,0.42011736824335555,-0.07261560210704682
mlp,true,false,true,FS_R4_1,0.14539739138594351,0.6627459366980325,0.49878824734404986,-9.790777022673E-4
mlp,true,false,true,FS_R4_1,0.1781547021095742,0.9860992301112061,0.6046658873313846,0.07267607797991535
sgd,true,false,false,FS_R4_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,0.11720644500727488,0.4651411462788708,0.43345430086365394,-0.059660022249834826
sgd,true,false,true,FS_R4_1,0.11825469414106633,0.47005988023952094,0.4357858559830383,-0.05750115392652965
rf,true,false,false,FS_R4_1,0.024213406292749658,0.03785286569717707,0.3914548126109119,-0.18047619174238155
rf,true,false,true,FS_R4_1,0.025716978591625153,0.04084687767322498,0.388302492298488,-0.17958785889502796
rf,true,false,true,FS_R4_1,0.025716978591625153,0.04084687767322498,0.388302492298488,-0.17958785889502796
rf,true,false,true,FS_R4_1,0.025585779692970642,0.04063301967493584,0.38819556329934346,-0.17977259450309283
mlp,true,true,false,FS_R4_1,0.22952191651846426,0.4692044482463644,0.5915192902038667,0.13974534060501406
sgd,true,true,false,FS_R4_1,0.11720644500727488,0.4651411462788708,0.43345430086365394,-0.059660022249834826
rf,true,true,false,FS_R4_1,0.024686361796843383,0.03913601368691189,0.3911466498266769,-0.18096768395251683
