release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.0.0,getTopic,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,,3,1,0,0,0,1,3,0,4,2,3,0,false
4.0.0,setOffset,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,,6,1,1,0,0,0,2,1,4,2,2,0,false
4.0.0,publish,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,,31,8,3,2,1,0,0,6,4,2,4,1,false
4.0.0,write,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,,24,5,7,3,0,1,3,0,4,2,3,0,false
4.0.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,,24,6,1,3,1,1,0,18,8,1,1,2,false
4.0.0,addEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,,13,2,3,2,0,1,1,4,4,2,8,2,false
4.0.0,main,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,,17,2,6,2,0,0,0,10,4,3,13,4,false
4.0.0,checkPage,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,,5,2,0,0,0,0,5,0,4,2,2,0,false
4.0.0,asyncSubscribe,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,,3,1,0,0,0,0,2,2,4,1,2,0,false
4.0.0,getJournalDirName,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,3,1,0,0,0,1,2,0,18,2,3,0,false
4.0.0,recoverLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,,70,4,4,3,1,3,1,6,40,2,5,4,false
4.0.0,getLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,,3,1,0,0,0,1,0,0,4,3,13,0,false
4.0.0,retryErroredSubscribers,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,,11,3,2,1,0,1,1,3,4,2,3,0,false
4.0.0,handleRedirectResponse,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,,43,15,9,5,0,2,3,10,4,1,4,3,false
4.0.0,stopServingSubscriber,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,,3,1,0,0,0,0,3,2,4,2,3,0,false
4.0.0,startDelivery,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,,1,1,0,0,0,0,3,0,4,1,1,0,false
4.0.0,usePage,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,,3,1,0,0,0,0,6,0,4,2,2,0,false
4.0.0,asyncRecoverBookieData,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,,13,1,0,0,0,0,1,0,40,2,5,2,false
4.0.0,recoverLedgerFragment,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,,25,7,7,1,0,1,1,8,4,2,5,3,false
4.0.0,asyncGetLedgersInSingleNode,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,,16,1,0,0,0,0,2,0,8,1,1,2,false
4.0.0,shutdown,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,,15,4,2,0,0,1,2,5,4,3,13,0,false
4.0.0,shutdown,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,,5,1,0,0,0,0,1,2,4,1,3,1,false
4.0.0,closeComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,,10,2,0,2,0,0,0,2,4,2,5,1,false
4.0.0,realGetOwner,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,,1,1,0,0,0,0,1,0,4,2,3,0,false
4.0.0,getEntryId,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,,3,1,0,0,0,1,0,0,4,1,2,0,false
4.0.0,notifyListenersAndAddToOwnedTopics,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,,42,2,2,0,0,0,2,2,4,2,3,0,false
4.0.0,stopDelivery,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,,19,3,3,3,0,0,0,4,4,1,3,2,false
4.0.0,createSubscriptionState,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,,1,1,0,0,0,0,1,0,4,2,3,0,false
4.0.0,writeMasterKey,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,,12,3,2,3,0,0,1,0,4,2,4,2,false
4.0.0,asyncCreateLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,,3,1,0,0,0,0,1,2,4,2,8,0,false
4.0.0,readEntryComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,,26,6,4,3,1,2,0,4,4,2,3,1,false
4.0.0,openComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,,1,1,0,0,0,0,2,0,4,2,4,0,false
4.0.0,equals,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,,7,5,1,0,0,2,0,0,4,3,8,0,false
4.0.0,instantiateZookeeperClient,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,,17,3,4,1,1,1,2,2,4,3,13,2,false
4.0.0,stopDelivery,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,,1,1,0,0,0,0,1,0,4,1,1,0,false
4.0.0,getChannelForLogId,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,,19,3,5,0,0,3,3,2,4,2,8,1,false
4.0.0,messageConsumed,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,,18,9,3,3,0,0,0,5,4,3,5,3,false
4.0.0,getValueAndReset,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,,7,1,2,0,0,1,0,0,4,1,1,1,false
4.0.0,releaseTopic,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,,3,1,0,0,0,0,3,2,4,2,3,0,false
4.0.0,grabCleanPage,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,,52,12,6,2,0,2,2,10,4,2,6,18,false
4.0.0,getGcWaitTime,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,3,1,0,0,0,1,1,0,18,2,3,0,false
4.0.0,update,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,,3,1,0,0,0,0,1,1,4,2,4,0,false
4.0.0,asyncRecoverBookieData,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,,13,1,0,0,0,0,1,0,4,2,5,2,false
4.0.0,writeLedgerConfig,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,,3,1,0,0,0,0,11,6,4,2,11,1,false
4.0.0,getMessage,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,,38,17,0,0,0,17,5,0,4,2,3,1,false
