release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.1.0,org/apache/bookkeeper/statelib/impl/kv/RocksdbKVStore.java,close/0,org.apache.bookkeeper.statelib.impl.kv.RocksdbKVStore.close/0,16,3,1,0,0,1,0,3,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/proto/BookieClientImpl.java,"completeRead/6[int,long,long,org.apache.bookkeeper.proto.ByteBuf,org.apache.bookkeeper.proto.ReadEntryCallback,java.lang.Object]","org.apache.bookkeeper.proto.BookieClientImpl.completeRead/6[int,long,long,org.apache.bookkeeper.proto.ByteBuf,org.apache.bookkeeper.proto.ReadEntryCallback,java.lang.Object]",8,2,0,0,1,0,1,1,-1,-1,0,0,false
4.2.0,org/apache/bookkeeper/net/NetworkTopologyImpl.java,chooseRandom/1[java.lang.String],org.apache.bookkeeper.net.NetworkTopologyImpl.chooseRandom/1[java.lang.String],14,2,0,0,1,2,0,1,-1,-1,0,2,false
4.1.0,org/apache/bookkeeper/common/util/OrderedExecutor$ContextPreservingRunnable.java,ContextPreservingRunnable/1[java.lang.Runnable],org.apache.bookkeeper.common.util.OrderedExecutor.ContextPreservingRunnable.ContextPreservingRunnable/1[java.lang.Runnable],4,1,2,0,0,0,1,0,-1,-1,0,0,false
4.2.0,org/apache/bookkeeper/client/RackawareEnsemblePlacementPolicy.java,RackawareEnsemblePlacementPolicy/0,org.apache.bookkeeper.client.RackawareEnsemblePlacementPolicy.RackawareEnsemblePlacementPolicy/0,3,1,0,0,0,0,0,0,-1,-1,0,0,false
4.1.0,org/apache/distributedlog/ReadAheadEntryReader.java,isReadAheadCaughtUp/0,org.apache.distributedlog.ReadAheadEntryReader.isReadAheadCaughtUp/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
4.2.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration/java.java,setHttpServerEnabled/1[boolean],org.apache.bookkeeper.conf.ServerConfiguration.setHttpServerEnabled/1[boolean],4,1,0,0,0,1,0,0,412,3,12,0,true
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel/java.java,preAllocIfNeeded/1[long],org.apache.bookkeeper.bookie.JournalChannel.preAllocIfNeeded/1[long],7,2,1,2,0,0,0,0,125,1,2,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration/java.java,setClientWriteBufferLowWaterMark/1[int],org.apache.bookkeeper.conf.ClientConfiguration.setClientWriteBufferLowWaterMark/1[int],4,1,0,0,0,1,0,0,441,1,4,0,false
4.1.0,org/apache/distributedlog/impl/BKNamespaceDriver.java,getWriterZKC/0,org.apache.distributedlog.impl.BKNamespaceDriver.getWriterZKC/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
4.2.0,org/apache/bookkeeper/bookie/DefaultEntryLogger$EntryLookupException$InvalidEntryLengthException.java,"InvalidEntryLengthException/4[long,long,long,long]","org.apache.bookkeeper.bookie.DefaultEntryLogger.EntryLookupException.InvalidEntryLengthException.InvalidEntryLengthException/4[long,long,long,long]",3,1,0,0,0,0,1,0,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/common/conf/ComponentConfiguration.java,"getCollection/3[java.lang.Class<T>,java.lang.String,java.util.Collection<T>]","org.apache.bookkeeper.common.conf.ComponentConfiguration.getCollection/3[java.lang.Class<T>,java.lang.String,java.util.Collection<T>]",3,1,0,0,0,1,0,0,-1,-1,0,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient/java.java,recycle/0,org.apache.bookkeeper.proto.PerChannelBookieClient.ReadV2ResponseCallback.recycle/0,8,1,5,0,0,0,1,0,412,3,7,0,false
4.2.0,org/apache/bookkeeper/auth/BookieAuthProvider$Factory.java,close/0,org.apache.bookkeeper.auth.BookieAuthProvider.Factory.close/0,2,1,0,0,0,0,0,0,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/statelib/impl/mvcc/MVCCStoreImpl.java,getNumber/1[K],org.apache.bookkeeper.statelib.impl.mvcc.MVCCStoreImpl.getNumber/1[K],15,3,2,1,2,2,0,1,-1,-1,0,5,false
4.2.0,org/apache/bookkeeper/bookie/BookieImpl.java,"setExplicitLac/4[org.apache.bookkeeper.bookie.ByteBuf,org.apache.bookkeeper.proto.BookkeeperInternalCallbacks.WriteCallback,java.lang.Object,byte[]]","org.apache.bookkeeper.bookie.BookieImpl.setExplicitLac/4[org.apache.bookkeeper.bookie.ByteBuf,org.apache.bookkeeper.proto.BookkeeperInternalCallbacks.WriteCallback,java.lang.Object,byte[]]",24,3,4,0,1,0,0,3,-1,-1,0,2,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp/java.java,openWithMetadata/1[org.apache.bookkeeper.client.Versioned<org.apache.bookkeeper.client.LedgerMetadata>],org.apache.bookkeeper.client.LedgerOpenOp.openWithMetadata/1[org.apache.bookkeeper.client.Versioned<org.apache.bookkeeper.client.LedgerMetadata>],103,13,7,2,1,5,0,1,412,2,3,10,false
4.2.0,org/apache/bookkeeper/util/collections/ConcurrentLongLongHashMap.java,"compareAndSet/3[long,long,long]","org.apache.bookkeeper.util.collections.ConcurrentLongLongHashMap.compareAndSet/3[long,long,long]",6,1,1,0,0,1,0,4,-1,-1,0,0,false
4.2.0,org/apache/bookkeeper/bookie/SortedLedgerStorage.java,setLimboState/1[long],org.apache.bookkeeper.bookie.SortedLedgerStorage.setLimboState/1[long],3,1,0,0,0,0,0,0,-1,-1,0,0,false
4.2.0,org/apache/bookkeeper/tools/framework/CliCommand.java,usage/0,org.apache.bookkeeper.tools.framework.CliCommand.usage/0,3,1,0,0,0,0,0,0,-1,-1,0,0,false
4.1.0,org/apache/bookkeeper/bookie/BookieShell$BookieSanityTestCmd.java,runCmd/1[org.apache.bookkeeper.bookie.CommandLine],org.apache.bookkeeper.bookie.BookieShell.BookieSanityTestCmd.runCmd/1[org.apache.bookkeeper.bookie.CommandLine],6,2,3,0,0,1,0,0,-1,-1,0,0,false
