release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,map,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SuperclassDiscriminatorStrategy.java,3,2,0,0,0,0,0,3,37,2,2,3,false
0.9.0,getLock,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OpenJPAStateManager.java,1,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,invalidateCompilation,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/MethodStoreQuery.java,1,1,0,0,0,0,2,0,45,2,5,0,false
0.9.0,supportsDifferentTableCorrelationNames,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,setFetchGroups,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,4,1,0,0,0,0,0,2,45,3,13,0,false
0.9.0,initialize,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java,9,3,0,0,1,1,0,2,45,1,4,1,false
0.9.0,providedShortField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,3,1,1,0,0,0,0,0,45,3,7,0,false
0.9.0,and,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory.java,4,2,0,0,0,2,0,0,45,3,6,0,false
0.9.0,getColumnPrivileges,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,getResolve,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,3,1,0,0,0,1,0,0,45,3,8,0,false
0.9.0,addImplDataMethods,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCDataGenerator.java,40,3,10,0,0,0,1,1,45,4,8,12,false
0.9.0,supportsRandomAccess,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider.java,8,2,0,0,1,2,1,1,37,2,2,0,false
0.9.0,enhanceToNestedData,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCDataGenerator.java,31,1,5,0,0,0,1,0,45,1,3,24,false
0.9.0,isDeleted,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,3,1,0,0,0,1,14,0,45,3,13,0,false
0.9.0,setQuotedNumbersInQueries,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java,3,1,1,0,0,0,0,0,45,1,3,0,false
0.9.0,getConnectionUserName,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,3,0,45,3,8,0,false
0.9.0,info,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/CommonsLogFactory.java,3,1,0,0,0,0,0,0,0,1,5,0,false
0.9.0,createFactory,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator.java,12,2,3,0,1,1,1,0,45,1,4,2,false
