release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData/java.java,"setSource/2[java.io.File,int]","org.apache.openjpa.meta.ClassMetaData.setSource/2[java.io.File,int]",4,1,2,0,0,0,1,0,185,4,13,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCDataImpl/java.java,getImplData/1[int],org.apache.openjpa.datacache.DataCachePCDataImpl.getImplData/1[int],3,1,0,0,0,1,0,0,185,1,1,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager/java.java,"initialize/2[java.lang.Class,org.apache.openjpa.kernel.PCState]","org.apache.openjpa.kernel.ObjectIdStateManager.initialize/2[java.lang.Class,org.apache.openjpa.kernel.PCState]",3,1,0,0,0,0,0,0,185,2,4,0,false
0.9.6,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,"toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]","org.apache.openjpa.kernel.QueryImpl.toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]",13,11,6,0,0,2,1,6,185,2,2,0,false
0.9.6,org/apache/openjpa/enhance/ReflectingPersistenceCapable.java,pcGetStateManager/0,org.apache.openjpa.enhance.ReflectingPersistenceCapable.pcGetStateManager/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository/java.java,getQueryMetaDatas/0,org.apache.openjpa.meta.MetaDataRepository.getQueryMetaDatas/0,3,1,0,0,0,1,0,0,185,4,16,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/SequenceMetaData/java.java,setAllocate/1[int],org.apache.openjpa.meta.SequenceMetaData.setAllocate/1[int],3,1,1,0,0,0,0,0,185,1,2,0,false
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/LogFactoryImpl/java.java,getDiagnosticContext/0,org.apache.openjpa.lib.log.LogFactoryImpl.getDiagnosticContext/0,10,5,3,0,0,1,1,0,94,2,2,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataTool/java.java,add/1[java.lang.Class],org.apache.openjpa.meta.MetaDataTool.add/1[java.lang.Class],9,4,4,0,0,0,1,1,185,1,1,4,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager/java.java,fetchLong/1[int],org.apache.openjpa.kernel.DetachedValueStateManager.fetchLong/1[int],3,1,0,0,0,0,0,0,185,2,5,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping/java.java,"wherePrimaryKey/3[org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore]","org.apache.openjpa.jdbc.meta.FieldMapping.wherePrimaryKey/3[org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore]",4,2,0,0,0,0,0,1,168,0,0,0,false
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations/java.java,"newInstance/5[java.lang.String,org.apache.openjpa.lib.conf.Value,org.apache.openjpa.lib.conf.Configuration,java.lang.ClassLoader,boolean]","org.apache.openjpa.lib.conf.Configurations.newInstance/5[java.lang.String,org.apache.openjpa.lib.conf.Value,org.apache.openjpa.lib.conf.Configuration,java.lang.ClassLoader,boolean]",44,19,12,0,2,4,3,5,94,4,7,3,false
0.9.6,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,assertCandidateType/0,org.apache.openjpa.kernel.QueryImpl.assertCandidateType/0,3,3,0,0,0,0,1,2,185,2,2,0,false
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator/java.java,last/0,org.apache.openjpa.lib.jdbc.LoggingConnectionDecorator.LoggingConnection.LoggingResultSet.last/0,8,1,0,0,1,1,0,1,94,1,1,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager/java.java,writeDetached/1[java.io.ObjectOutput],org.apache.openjpa.kernel.DetachedStateManager.writeDetached/1[java.io.ObjectOutput],5,1,0,0,0,1,0,0,185,2,4,0,false
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Localizer/java.java,get/1[java.lang.String],org.apache.openjpa.lib.util.Localizer.get/1[java.lang.String],3,1,0,0,0,1,54,1,94,3,4,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionaryFactory/java.java,"getGeneratedKey/2[org.apache.openjpa.jdbc.schema.Column,java.sql.Connection]","org.apache.openjpa.jdbc.sql.DBDictionary.getGeneratedKey/2[org.apache.openjpa.jdbc.schema.Column,java.sql.Connection]",25,7,5,0,3,1,0,7,168,1,1,3,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl/java.java,"proxyBeforeAfterMethod/7[org.apache.openjpa.util.BCClass,java.lang.Class,java.lang.reflect.Method,java.lang.reflect.Method,java.lang.Class[],java.lang.reflect.Method,java.lang.Class[]]","org.apache.openjpa.util.ProxyManagerImpl.proxyBeforeAfterMethod/7[org.apache.openjpa.util.BCClass,java.lang.Class,java.lang.reflect.Method,java.lang.reflect.Method,java.lang.Class[],java.lang.reflect.Method,java.lang.Class[]]",33,11,9,3,0,0,1,0,185,0,0,16,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap/java.java,setCacheSize/1[int],org.apache.openjpa.util.CacheMap.setCacheSize/1[int],9,2,0,0,1,0,0,2,185,1,1,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring/java.java,setImplicitType/1[java.lang.Class],org.apache.openjpa.jdbc.kernel.exps.Substring.setImplicitType/1[java.lang.Class],2,1,0,0,0,0,0,0,168,1,1,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedValueHandler/java.java,assertChangeable/0,org.apache.openjpa.lib.conf.Value.assertChangeable/0,5,3,0,0,0,0,1,3,168,1,1,2,false
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement/java.java,getInnermostDelegate/0,org.apache.openjpa.lib.jdbc.DelegatingCallableStatement.getInnermostDelegate/0,3,2,0,0,0,1,3,1,94,0,0,0,false
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement/java.java,"setBoolean/2[java.lang.String,boolean]","org.apache.openjpa.lib.jdbc.DelegatingCallableStatement.setBoolean/2[java.lang.String,boolean]",3,1,0,0,0,0,0,0,94,0,0,0,false
0.9.6,org/apache/openjpa/enhance/Reflection.java,"findSetter/3[java.lang.Class,java.lang.String,boolean]","org.apache.openjpa.enhance.Reflection.findSetter/3[java.lang.Class,java.lang.String,boolean]",4,2,1,0,0,1,0,2,-1,-1,0,1,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask/java.java,record/0,org.apache.openjpa.jdbc.meta.MappingTool.record/0,3,1,0,0,0,0,0,1,168,0,0,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider/java.java,"getByteInternal/2[java.lang.Object,org.apache.openjpa.jdbc.kernel.Joins]","org.apache.openjpa.jdbc.kernel.MappedQueryResultObjectProvider.MappingResult.getByteInternal/2[java.lang.Object,org.apache.openjpa.jdbc.kernel.Joins]",4,2,0,0,0,2,0,2,168,0,0,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/SequenceMetaData/java.java,newPluginValue/1[java.lang.String],org.apache.openjpa.meta.SequenceMetaData.newPluginValue/1[java.lang.String],3,1,0,0,0,1,1,0,185,1,2,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/ant/PCEnhancerTask/java.java,"addSetManagedValueCode/2[org.apache.openjpa.enhance.Code,org.apache.openjpa.enhance.FieldMetaData]","org.apache.openjpa.enhance.PCEnhancer.addSetManagedValueCode/2[org.apache.openjpa.enhance.Code,org.apache.openjpa.enhance.FieldMetaData]",11,4,0,1,0,0,6,5,185,0,0,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java.java,getDataCacheManager/0,org.apache.openjpa.conf.OpenJPAConfiguration.getDataCacheManager/0,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator/java.java,next/0,org.apache.openjpa.persistence.Generator.next/0,1,1,0,0,0,0,0,0,185,1,1,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager/java.java,getCacheMapFromQuerySQLCache/1[java.lang.Object],org.apache.openjpa.jdbc.kernel.JDBCStoreManager.getCacheMapFromQuerySQLCache/1[java.lang.Object],10,2,2,0,0,1,2,1,168,2,5,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery/java.java,"prepareCall/2[java.sql.Connection,org.apache.openjpa.jdbc.kernel.SQLBuffer]","org.apache.openjpa.jdbc.kernel.SQLStoreQuery.SQLExecutor.prepareCall/2[java.sql.Connection,org.apache.openjpa.jdbc.kernel.SQLBuffer]",3,1,0,0,0,1,2,0,168,1,2,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder/java.java,isNotNullExplicit/0,org.apache.openjpa.jdbc.schema.Column.isNotNullExplicit/0,3,2,0,0,0,1,3,0,168,0,0,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy/java.java,"findFromDatabase/2[org.apache.openjpa.kernel.AttachManager,java.lang.Object]","org.apache.openjpa.kernel.VersionAttachStrategy.findFromDatabase/2[org.apache.openjpa.kernel.AttachManager,java.lang.Object]",9,2,1,0,0,2,1,3,185,1,3,3,false
