@relation BOOKKEEPER_Train_R3-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {true,false}

@data
3,1,1,0,0,0,1,0,196,3,5,0,true
3,2,1,0,0,0,1,0,196,2,2,0,false
1,1,0,0,0,0,0,0,4,2,2,0,false
8,3,1,1,0,1,0,1,196,1,2,2,false
15,1,0,0,0,0,4,1,196,3,10,2,true
8,3,1,3,0,2,1,1,196,2,2,0,false
4,1,0,0,0,0,0,8,196,1,2,0,false
3,1,0,0,0,0,0,1,4,2,3,0,false
63,15,12,11,4,4,1,5,0,1,1,13,true
25,5,7,2,0,3,0,3,196,1,1,0,false
3,1,0,0,0,1,1,0,0,1,1,0,true
11,2,4,1,0,0,0,0,0,3,4,0,false
52,12,14,11,1,1,0,10,84,3,6,4,true
43,14,6,5,1,3,1,6,204,1,1,3,false
3,1,0,0,0,0,1,1,196,3,12,0,false
30,2,4,2,1,0,1,3,196,3,10,5,true
4,5,0,0,0,2,9,1,196,1,4,0,true
3,1,0,0,0,1,1,0,196,1,2,0,true
7,1,2,0,0,0,0,4,4,1,3,0,false
3,1,1,0,0,0,0,0,196,2,2,0,true
3,1,1,0,0,0,1,0,4,3,6,0,false
3,1,0,0,0,1,0,2,4,3,10,0,false
3,1,0,0,0,1,0,1,56,2,3,0,true
3,1,0,0,0,1,5,0,196,1,1,0,true
5,1,1,0,0,1,0,0,196,1,1,0,false
6,2,1,0,0,1,1,0,4,3,7,1,false
22,1,0,0,0,0,0,1,8,1,1,1,false
3,1,0,0,0,1,0,0,196,1,1,0,false
6,1,0,0,0,0,1,4,0,1,1,0,false
