@relation bookkeeper_Train_R2-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute className {null}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
null,19,2,1,0,0,0,1,4,4,2,5,0,false
null,22,2,3,1,0,1,0,5,4,2,5,5,false
null,7,2,1,0,0,2,1,0,4,2,6,0,false
null,22,9,3,4,0,1,0,5,4,1,3,3,false
null,3,1,0,0,0,1,2,0,4,2,3,0,false
null,19,9,1,1,0,0,5,1,4,2,6,3,false
null,3,1,0,0,0,0,0,1,4,1,2,0,false
null,12,4,0,2,1,0,0,2,4,1,3,0,false
null,22,5,2,0,0,2,2,0,4,1,3,0,false
null,24,1,4,2,0,0,1,2,4,3,8,6,false
null,26,8,6,12,0,1,2,4,4,2,6,4,false
null,6,2,0,0,0,0,4,0,4,2,2,0,false
null,30,10,5,2,1,1,0,0,131,2,5,2,false
null,1,1,0,0,0,0,1,0,4,2,3,0,false
null,6,2,1,0,0,0,2,0,4,2,3,0,false
null,11,3,4,6,0,2,1,0,4,1,2,0,false
null,12,1,3,1,0,1,2,0,4,2,6,0,false
null,3,1,0,0,0,0,0,0,4,2,5,0,false
null,2,1,0,0,0,0,1,0,4,2,4,0,false
null,1,1,0,0,0,0,1,0,4,3,7,0,false
null,29,1,0,0,0,0,1,0,8,1,1,2,false
null,1,1,0,0,0,0,1,0,4,2,3,0,false
null,6,2,0,0,0,2,1,1,4,1,1,0,false
null,3,1,0,0,0,1,0,2,4,2,2,0,false
null,3,1,0,1,0,1,2,1,4,2,4,0,false
null,4,2,0,0,0,2,8,2,4,1,2,2,false
null,13,1,0,0,0,0,1,0,4,2,5,2,false
null,12,1,0,0,0,0,2,2,4,3,8,1,false
null,3,1,0,0,0,0,0,8,4,1,3,0,false
null,3,1,0,0,0,0,0,2,4,2,3,0,false
null,4,1,1,0,0,0,0,1,4,2,4,0,false
null,9,3,1,2,0,1,3,0,4,2,8,0,false
null,3,1,0,0,0,1,3,0,4,1,2,0,false
null,5,2,1,0,0,0,2,0,4,1,1,0,false
null,3,1,0,0,0,1,1,0,4,2,3,0,false
null,19,3,3,3,0,0,1,1,4,1,3,2,false
null,4,1,1,0,0,0,1,1,4,3,7,0,false
null,21,5,3,1,0,1,1,2,4,2,4,2,false
null,1,1,0,0,0,0,1,0,4,1,2,0,false
null,3,1,0,1,0,1,0,1,4,2,6,0,false
null,42,19,0,0,0,19,3,0,4,2,3,1,false
null,3,1,0,0,0,1,3,0,4,1,1,0,false
null,7,2,0,1,0,1,1,2,4,1,3,0,false
null,11,1,0,0,0,0,0,1,4,2,3,0,false
null,3,1,0,0,0,1,2,0,4,2,6,0,false
null,87,7,0,0,1,0,0,2,4,2,8,13,false
null,3,1,0,0,0,0,0,0,4,1,3,0,false
null,9,1,3,1,0,0,0,0,40,2,5,0,false
null,3,1,0,0,0,1,0,2,4,2,3,0,false
null,1,1,0,0,0,0,4,0,4,2,2,0,false
null,6,1,1,0,0,1,0,0,4,3,8,1,false
null,19,4,6,1,0,0,2,4,4,2,3,3,false
null,22,5,3,0,1,0,0,4,4,2,3,0,false
null,3,1,0,0,0,1,1,0,4,3,7,0,false
null,3,1,0,0,0,1,0,0,4,2,3,0,false
null,25,5,7,2,0,3,0,3,4,2,5,0,false
null,5,1,0,1,0,0,2,2,4,1,2,2,false
null,40,7,13,8,1,1,1,2,4,2,8,9,false
null,4,1,0,0,0,0,1,1,4,2,5,0,false
null,5,1,0,0,0,0,1,0,4,2,5,0,false
null,9,2,1,0,0,1,0,2,4,2,2,0,false
null,3,2,0,0,0,0,0,4,4,2,4,0,false
