@relation bookkeeper_Train_R3-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute className {null,HedwigConsole,HedwigConsole$ConsoleHandler}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
null,3,1,0,0,0,1,0,1,196,1,1,0,false
null,24,1,0,0,0,0,2,0,204,2,4,4,false
null,10,3,3,2,0,0,0,22,196,3,10,1,false
null,11,3,2,1,0,1,1,2,196,1,2,0,false
null,7,2,1,0,0,2,1,0,4,2,6,0,false
null,8,2,0,0,1,0,0,1,96,3,6,0,false
null,9,2,2,1,0,0,1,1,226,1,1,0,false
null,12,4,0,2,1,0,0,3,4,1,3,0,false
null,26,8,6,12,0,1,1,4,4,2,6,4,false
null,6,2,0,0,0,0,4,0,4,2,2,0,false
null,6,2,1,0,0,0,2,0,4,2,3,0,false
null,11,3,4,6,0,2,1,0,4,1,2,0,false
null,3,1,0,0,0,0,0,1,204,2,4,0,false
null,29,1,0,0,0,0,1,0,8,1,1,2,false
null,11,3,0,2,0,0,0,1,268,2,4,1,false
null,3,1,0,0,0,1,0,2,4,2,2,0,false
null,34,3,8,2,1,1,1,4,0,3,4,1,false
null,3,1,0,1,0,1,2,1,4,2,4,0,false
null,22,3,3,2,0,2,0,2,196,1,1,1,false
null,3,1,0,0,0,1,1,0,0,2,2,0,false
null,3,1,0,0,0,0,0,11,4,1,3,0,false
null,3,2,0,1,0,1,0,0,196,1,1,0,false
null,3,1,1,0,0,0,0,0,84,1,1,0,false
null,4,1,1,0,0,0,0,2,4,2,4,0,false
null,3,1,0,0,0,1,3,0,4,1,2,0,false
null,3,1,0,0,0,0,0,1,196,1,3,0,false
null,3,1,0,0,0,1,1,1,196,1,1,0,false
null,21,5,3,1,0,1,1,7,4,2,4,2,false
null,120,8,13,2,1,0,0,3,0,1,1,16,false
null,13,3,2,2,0,3,0,0,96,3,6,0,false
null,28,8,7,3,0,1,1,2,196,3,10,0,false
null,17,9,5,0,0,0,0,5,196,1,4,5,false
null,1,1,0,0,0,0,0,0,196,1,4,0,false
null,8,2,2,0,0,1,6,0,196,1,1,0,false
null,3,1,0,3,0,1,2,0,196,1,1,0,false
null,3,1,0,0,0,1,4,0,196,1,1,0,false
null,3,1,0,0,0,1,1,1,196,1,1,0,false
null,20,4,4,3,1,1,1,3,196,3,12,0,false
null,3,1,0,0,0,0,0,1,196,1,1,0,false
null,1,1,0,0,0,0,1,0,450,2,5,0,false
null,3,1,0,0,0,1,2,1,196,1,1,0,false
null,11,3,5,0,0,2,1,2,196,1,1,2,false
null,1,1,0,0,0,0,0,0,204,2,2,0,false
null,3,1,0,0,0,1,2,1,196,1,1,0,false
null,3,1,0,0,0,1,7,0,196,1,1,0,false
null,6,1,3,0,0,0,1,1,4,3,10,0,false
null,6,2,0,0,0,1,2,0,125,1,2,0,false
null,6,2,0,0,0,1,2,3,196,1,1,1,false
null,7,2,1,0,0,1,0,0,196,1,3,0,false
null,17,4,1,0,1,0,1,1,4,3,5,0,false
null,32,8,3,2,2,0,1,1,196,3,12,7,false
null,3,1,0,0,0,1,0,0,196,1,1,0,false
null,16,1,0,0,0,0,2,0,8,1,1,2,false
null,8,2,2,0,0,1,2,0,196,1,1,0,false
null,8,2,1,1,0,1,0,1,84,1,1,0,false
null,64,12,17,2,1,0,0,6,56,1,2,9,false
null,3,1,0,0,0,0,0,18,4,1,3,0,false
null,5,2,0,0,0,0,0,2,0,3,4,0,false
null,13,1,0,0,0,0,1,0,196,3,12,1,false
null,3,1,0,0,0,1,0,0,0,1,1,0,false
null,3,1,0,0,0,1,2,0,4,3,7,1,false
null,13,4,4,1,1,0,0,9,196,1,1,2,false
null,3,1,0,0,0,1,1,0,196,1,4,0,false
null,30,2,4,2,1,0,0,3,196,3,10,5,false
null,4,1,0,1,0,0,0,1,196,1,1,0,false
null,16,2,0,0,0,0,0,0,196,1,3,1,false
null,3,1,0,0,0,1,0,1,196,1,1,0,false
null,67,9,2,5,2,6,0,11,4,2,8,6,false
null,3,1,0,0,0,1,0,0,196,1,1,0,false
null,29,2,1,0,0,0,1,1,4,2,5,2,false
null,13,1,2,0,0,0,0,0,196,1,1,0,false
null,21,6,5,1,0,0,1,1,4,3,7,2,false
null,3,2,1,0,0,0,1,0,4,2,2,0,false
null,3,1,0,0,0,1,1,0,196,3,12,0,false
null,3,1,0,0,0,1,0,1,196,1,1,1,false
null,3,1,0,0,0,0,0,1,4,1,1,1,false
null,13,3,2,1,0,0,1,0,196,1,3,0,false
null,19,4,1,3,1,0,1,1,0,1,1,2,false
null,3,1,0,0,0,1,1,0,4,3,7,0,false
null,8,2,0,2,0,2,0,0,4,2,3,0,false
null,3,1,0,0,0,1,0,1,196,1,1,0,false
null,3,1,0,0,0,1,5,0,196,1,1,0,false
null,27,7,3,3,0,3,0,4,4,2,3,3,false
null,5,3,1,0,0,0,0,1,4,2,3,1,false
null,13,2,1,0,0,0,0,2,226,1,1,0,false
null,3,1,0,0,0,0,3,2,196,1,2,0,false
null,3,1,1,0,0,0,0,0,4,2,3,0,false
null,12,2,3,0,0,1,0,2,84,1,1,0,false
null,3,1,0,0,0,1,0,0,196,2,2,0,false
null,14,3,3,2,0,0,4,2,196,3,12,1,false
null,3,1,0,0,0,0,1,0,0,1,1,0,false
null,3,1,0,0,0,1,2,0,0,2,2,1,false
null,3,1,0,0,0,1,2,0,225,2,2,0,false
null,24,2,3,1,0,1,0,7,268,2,4,5,false
null,3,1,0,0,0,0,2,1,4,2,3,0,false
null,3,1,0,0,0,1,1,0,225,2,3,0,false
null,8,3,1,0,0,1,1,0,0,1,1,0,false
null,3,1,0,0,0,1,6,0,196,1,1,0,false
null,5,6,0,0,0,0,1,1,91,1,1,3,false
null,2,1,0,0,0,0,0,0,8,1,1,0,false
null,3,1,0,0,0,1,1,0,4,2,6,0,false
null,3,1,0,0,0,1,0,0,84,3,6,0,false
null,10,3,1,0,0,1,1,1,196,1,1,2,false
null,3,1,0,0,0,1,0,1,4,2,3,0,false
null,14,2,6,2,0,0,1,4,204,2,4,0,false
null,3,1,0,1,0,1,0,0,196,1,2,0,false
null,17,3,2,7,0,0,1,0,4,2,5,2,false
null,6,2,0,0,0,1,0,1,196,1,2,0,false
null,18,6,2,0,0,0,0,0,196,1,2,5,false
null,3,1,0,0,0,0,1,1,0,1,1,0,false
null,81,20,8,2,2,1,1,6,4,3,7,8,false
null,8,2,0,0,1,0,0,1,4,1,2,0,false
null,8,4,1,0,0,0,1,0,4,3,7,0,false
null,64,8,7,2,1,3,0,13,4,2,5,5,false
null,3,1,0,0,0,0,1,2,4,2,3,0,false
null,17,4,3,2,1,1,1,1,96,3,6,0,false
null,3,1,0,0,0,0,0,1,196,1,3,0,false
null,2,1,0,0,0,0,0,0,196,1,2,0,false
null,3,1,0,0,0,1,7,0,196,1,1,0,false
null,32,8,3,2,2,0,1,1,4,2,8,7,false
null,3,1,0,0,0,1,0,1,196,1,1,0,false
