@relation openjpa_Train_R2-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
0.9.0,3,2,0,0,0,0,0,3,37,2,2,3,false
0.9.0,1,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,1,1,0,0,0,0,2,0,45,2,5,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,4,1,0,0,0,0,0,2,45,3,13,0,false
0.9.0,9,3,0,0,1,1,0,2,45,1,4,1,false
0.9.0,3,1,1,0,0,0,0,0,45,3,7,0,false
0.9.0,4,2,0,0,0,2,0,0,45,3,6,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,8,0,false
0.9.0,40,3,10,0,0,0,1,2,45,4,8,12,false
0.9.0,8,2,0,0,1,2,1,1,37,2,2,0,false
0.9.0,31,1,5,0,0,0,1,0,45,1,3,24,false
0.9.0,3,1,0,0,0,1,14,1,45,3,13,0,false
0.9.0,3,1,1,0,0,0,0,0,45,1,3,0,false
0.9.0,1,1,0,0,0,0,3,0,45,3,8,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,5,0,false
0.9.0,12,2,3,0,1,1,1,0,45,1,4,2,false
0.9.0,3,1,0,0,0,1,1,0,45,2,6,0,false
0.9.0,10,2,0,0,1,0,0,3,45,2,6,0,false
0.9.0,31,6,6,0,0,1,0,13,37,2,3,11,false
0.9.0,3,1,0,0,0,1,0,3,45,2,7,0,false
0.9.0,1,1,0,0,0,0,1,0,45,2,7,0,false
0.9.0,2,1,0,0,0,0,1,0,45,2,6,0,false
0.9.0,4,1,0,0,0,0,0,1,0,1,8,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,4,1,0,0,0,1,0,1,45,2,5,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,4,0,false
0.9.0,30,14,7,0,1,2,1,13,45,2,6,6,false
0.9.0,3,1,0,0,0,1,0,0,45,1,3,0,false
0.9.0,4,1,1,0,0,1,0,0,37,2,6,0,false
0.9.0,3,1,0,2,0,1,1,0,45,2,8,0,false
0.9.0,16,6,5,0,0,2,1,1,45,2,7,0,false
0.9.0,4,3,0,0,0,2,2,2,0,1,5,0,false
0.9.0,5,5,1,0,0,2,2,2,45,2,4,0,false
0.9.0,3,1,1,0,0,0,0,0,0,2,12,0,false
0.9.0,3,3,0,0,0,1,3,0,45,1,3,0,false
0.9.0,4,3,0,0,0,0,1,1,45,3,11,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.0,2,1,0,0,0,0,0,0,37,2,3,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,4,0,false
0.9.0,8,4,2,0,0,1,1,1,45,2,6,1,false
0.9.0,10,5,1,0,0,2,1,2,45,2,8,0,false
0.9.0,3,1,0,0,0,0,0,0,45,4,9,0,false
0.9.0,9,2,4,0,0,1,2,1,37,2,3,2,false
0.9.0,4,2,1,2,0,1,0,2,0,1,5,0,false
0.9.0,10,5,2,0,0,0,1,1,37,2,4,0,false
0.9.0,9,2,0,0,1,1,1,2,45,3,7,1,false
0.9.0,4,1,0,0,0,0,1,1,37,2,4,0,false
0.9.0,7,3,4,0,0,1,0,0,45,3,13,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,4,2,0,0,0,0,0,1,0,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.0,5,3,1,0,0,2,0,1,0,1,4,0,false
0.9.0,7,1,1,0,0,1,0,7,45,3,8,0,false
0.9.0,3,1,0,0,0,1,0,2,37,3,9,0,false
0.9.0,1,1,0,0,0,0,1,0,45,3,6,0,false
0.9.0,22,14,6,0,0,7,2,0,37,1,2,2,false
0.9.0,3,1,0,0,0,1,3,0,45,1,4,0,false
0.9.0,6,2,1,0,0,0,1,0,37,2,2,0,false
0.9.0,3,2,0,0,0,1,0,2,37,2,2,0,false
0.9.0,4,3,0,0,0,2,0,2,0,1,8,0,false
0.9.0,4,1,0,0,0,0,0,2,45,3,13,0,false
0.9.0,3,1,1,0,0,0,2,0,45,3,8,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,3,1,0,0,0,1,1,0,45,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,4,0,false
0.9.0,6,4,1,0,0,3,1,0,37,2,3,0,false
0.9.0,3,1,0,0,0,1,9,0,0,2,9,0,false
0.9.0,3,2,0,0,0,0,0,1,0,2,9,0,false
0.9.0,3,1,0,0,0,1,0,2,37,2,4,0,false
0.9.0,3,1,0,0,0,0,0,0,37,2,2,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,5,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,12,5,6,0,0,0,0,3,37,2,2,1,false
0.9.0,50,17,7,0,0,1,0,40,37,2,5,16,false
0.9.0,3,1,0,0,0,0,0,0,45,3,13,0,false
0.9.0,4,1,0,0,0,0,0,2,45,3,13,0,false
0.9.0,3,1,0,1,0,1,1,0,0,1,6,0,false
0.9.0,5,1,1,0,0,1,0,2,0,1,4,0,false
0.9.0,1,1,0,0,0,0,2,0,45,2,5,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,3,1,0,0,0,1,1,0,37,2,6,0,false
