@relation openjpa_Train_R3-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.6,0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
0.9.6,1,1,0,0,0,0,2,0,185,2,4,0,false
0.9.6,5,3,1,0,0,0,1,1,185,3,5,0,true
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,9,3,0,0,1,1,0,2,45,1,4,1,false
0.9.6,14,2,2,0,1,1,0,4,168,1,1,0,false
0.9.0,3,1,1,0,0,0,0,0,45,3,7,0,false
0.9.0,4,2,0,0,0,2,0,0,45,3,6,0,false
0.9.6,3,3,0,0,0,1,0,0,185,1,1,0,false
0.9.6,40,11,9,0,3,1,2,4,185,4,19,5,true
0.9.6,4,2,0,0,0,2,0,1,168,1,1,1,false
0.9.6,9,3,6,0,0,1,1,2,185,1,1,0,false
0.9.6,3,1,0,0,0,1,1,0,185,2,2,0,true
0.9.0,31,1,5,0,0,0,1,0,45,1,3,24,false
0.9.6,19,7,6,2,1,3,7,4,185,4,7,8,false
0.9.6,8,4,3,0,0,1,5,2,185,4,13,1,true
0.9.0,3,1,0,0,0,1,14,1,45,3,13,0,false
0.9.0,3,1,1,0,0,0,0,0,45,1,3,0,false
0.9.6,3,1,0,0,0,1,1,0,185,1,1,0,false
0.9.6,1,1,0,0,0,0,2,0,185,2,4,0,false
0.9.6,3,1,0,0,0,1,0,0,168,2,2,0,false
0.9.6,3,1,0,0,0,1,0,0,168,1,1,0,false
0.9.0,10,2,0,0,1,0,0,3,45,2,6,0,false
0.9.0,3,1,0,0,0,1,0,3,45,2,7,0,false
0.9.6,6,1,3,0,0,1,2,1,185,3,4,0,false
0.9.6,9,1,0,0,1,1,0,4,185,4,19,0,true
0.9.0,4,1,0,0,0,0,0,1,0,1,8,0,false
