@relation 'merged_results_realease-weka.filters.unsupervised.attribute.Remove-R1,2,3,4'

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
1,1,0,0,0,0,1,0,196,1,1,0,false
33,3,4,2,0,1,1,8,196,1,1,1,false
7,2,0,0,0,1,0,3,196,1,1,0,false
3,1,0,0,0,1,0,2,196,0,0,0,false
19,2,3,1,0,1,4,10,132,1,1,6,false
3,1,0,0,0,0,1,2,196,1,1,0,false
10,3,4,0,0,0,2,4,196,1,1,0,false
4,1,0,0,0,0,0,2,196,0,0,0,false
5,2,1,0,0,0,0,2,132,0,0,0,false
3,1,0,0,0,1,2,0,204,2,4,0,false
5,1,3,0,0,0,1,0,196,0,0,0,false
3,1,0,0,0,1,0,1,196,1,1,0,false
19,6,2,0,0,5,0,6,196,0,0,1,false
8,2,0,0,1,2,0,2,132,0,0,1,false
64,12,17,2,1,0,0,6,56,1,2,9,false
15,1,1,0,0,0,2,2,196,1,3,1,false
1,1,0,0,0,0,1,0,450,2,5,0,false
17,4,1,0,1,0,1,3,196,2,3,0,false
1,1,0,0,0,0,6,0,196,1,1,0,false
3,1,0,0,0,1,0,0,196,0,0,0,false
8,1,5,3,0,0,1,0,196,1,1,0,false
3,1,0,0,0,1,0,1,196,1,1,2,false
41,3,2,5,0,2,0,4,196,1,3,1,false
3,1,0,0,0,1,1,0,196,1,2,0,false
8,3,0,0,0,0,0,16,196,0,0,2,false
3,1,0,0,0,1,6,2,196,0,0,0,false
17,5,5,0,0,2,1,1,0,1,1,3,false
14,3,6,3,0,0,0,0,196,0,0,2,false
9,1,4,0,0,1,1,2,56,2,3,0,false
34,6,0,2,2,0,2,3,229,1,1,3,false
3,1,0,0,0,1,1,0,196,1,4,0,false
11,3,0,1,0,1,1,0,0,1,1,1,false
3,1,2,0,0,0,0,0,196,0,0,0,false
24,5,7,3,0,1,3,0,196,0,0,0,false
15,3,3,4,0,1,0,6,196,1,3,0,false
3,1,0,0,0,0,0,0,0,0,0,0,false
3,1,0,0,0,0,0,0,84,1,1,0,false
5,3,0,0,0,0,0,3,0,1,1,0,false
11,3,3,1,0,1,0,0,196,1,1,1,false
4,1,0,0,0,1,0,0,196,1,2,0,false
12,1,0,0,0,1,2,1,196,0,0,0,false
8,2,2,0,0,1,2,0,196,1,1,0,false
3,1,0,0,0,1,0,1,196,1,1,0,false
