release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.1.0,markLedgerInRecovery,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,3,1,1,0,0,0,1,0,196,3,5,0,true
4.1.0,setClean,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,3,2,1,0,0,0,0,0,196,2,2,0,false
4.0.0,canProceedWithRecovery,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,1,1,0,0,0,0,1,0,4,2,2,0,false
4.1.0,safeProcessResult,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,8,3,1,1,0,1,0,1,196,1,2,2,false
4.2.0,isInterRegionSSLEnabled,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,3,1,0,0,0,1,1,0,412,3,12,0,false
4.1.0,errorOutAddKey,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,15,1,0,0,0,0,3,0,196,3,10,2,false
4.1.0,getLastEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,8,3,1,3,0,2,0,1,196,2,2,0,false
4.1.0,operationFinished,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,4,1,0,0,0,0,0,8,196,1,2,0,false
4.2.0,releaseTopicIfRequested,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,26,5,2,2,0,1,2,0,412,3,11,2,false
4.0.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,3,1,0,0,0,0,0,1,4,2,3,0,false
4.2.0,getSeqIdAfterSkipping,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,3,1,0,1,0,1,0,1,412,3,11,0,false
4.1.0,readLedger,hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,63,15,12,11,4,4,1,5,0,1,1,13,false
4.2.0,getRetentionSecs,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,3,1,0,0,0,1,0,0,412,3,12,0,false
4.1.0,main,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,25,5,7,2,0,3,0,3,196,1,1,0,false
4.1.0,getOption,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,3,1,0,0,0,1,1,0,0,1,1,0,false
4.1.0,addComplete,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,11,2,4,1,0,0,0,0,0,3,4,0,false
4.1.0,getLastEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,52,12,14,11,1,1,0,6,84,3,6,4,true
4.1.0,newLedgerManager,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,43,14,6,5,1,3,1,6,204,1,1,3,false
4.1.0,openNewChannel,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,3,1,0,0,0,0,1,1,196,3,12,0,false
4.2.0,claim,hedwig-server/src/main/java/org/apache/hedwig/server/topics/MMTopicManager.java,5,1,0,0,0,0,2,0,165,1,1,0,false
4.1.0,readEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,30,2,4,2,1,0,0,3,196,3,10,5,false
4.1.0,isValidSubscriberId,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,4,5,0,0,0,2,8,0,196,1,4,0,true
4.2.0,process,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/Auditor.java,5,3,0,0,0,0,0,0,4,1,3,0,false
4.1.0,getCertPath,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,3,1,0,0,0,1,1,0,196,1,2,0,true
4.2.0,diskFull,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,3,1,0,0,0,0,0,0,384,2,9,0,false
4.0.0,run,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,7,1,2,0,0,0,0,3,4,1,3,0,false
4.2.0,updateMessageBound,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,22,5,4,0,0,1,2,2,412,2,10,4,false
4.2.0,doAsyncGetLedgersInSingleNode,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,29,1,0,0,0,0,1,0,420,3,7,2,false
4.2.0,getEnsembleSize,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,3,1,0,0,0,1,0,0,412,3,9,0,false
4.1.0,setEntryId,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,3,1,1,0,0,0,1,0,196,2,2,0,true
4.0.0,isRunning,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,3,1,0,0,0,1,0,2,4,3,10,0,false
4.0.0,markLedgerInRecovery,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,3,1,1,0,0,0,1,0,4,3,6,0,false
4.1.0,getJMXBean,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,3,1,0,0,0,1,0,0,56,2,3,0,false
4.1.0,hasSubscriberId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,3,1,0,0,0,1,0,1,196,1,1,0,false
4.1.0,toString,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,5,1,1,0,0,1,0,0,196,1,1,0,false
4.0.0,getPeerName,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,6,2,1,0,0,1,1,0,4,3,7,1,false
4.0.0,asyncProcessLedgersInSingleNode,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,22,1,0,0,0,0,0,1,8,1,1,1,false
4.1.0,instance,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,3,1,0,0,0,1,0,0,196,1,1,0,false
4.1.0,getValueAndReset,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,1,1,0,0,0,0,2,0,196,2,3,0,false
4.1.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,70,9,2,5,2,6,0,0,196,1,1,7,false
4.1.0,send,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,5,1,1,0,0,0,0,0,196,1,1,1,false
4.2.0,subscribe,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,13,3,0,2,1,0,2,4,412,2,9,0,false
4.1.0,startServingSubscription,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,1,1,0,0,0,0,0,0,196,1,2,0,false
4.1.0,doGc,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,8,3,0,0,0,0,0,0,204,3,4,0,true
4.1.0,parseConfig,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,45,10,15,4,1,1,1,2,196,3,5,1,true
