release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,select,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,2,1,0,0,0,0,0,0,37,2,3,0,false
0.9.0,last,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java,9,3,2,0,0,2,0,0,37,2,3,0,false
0.9.6,getDataSource,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,17,5,7,0,0,2,0,4,168,3,4,0,false
0.9.0,getSQLValue,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.7,clear,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/MultiClassLoader.java,3,1,0,0,0,0,1,0,243,2,2,0,false
0.9.6,storeByte,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,3,1,0,0,0,0,0,0,185,2,4,0,false
0.9.0,getJoins,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,3,1,0,0,0,1,0,0,37,2,3,0,false
1.1.0,createEntityManagerFactory,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProviderImpl.java,13,3,4,0,1,2,1,1,723,1,1,1,false
0.9.7,endConfiguration,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,3,1,0,0,0,0,0,1,334,3,5,0,false
0.9.6,setOwner,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyGregorianCalendar.java,4,1,2,0,0,0,0,0,185,1,1,0,false
0.9.6,getDetachedState,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java,15,6,8,3,0,1,3,0,185,1,2,1,false
0.9.6,getSelects,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java,18,8,6,0,0,3,0,1,168,3,6,1,false
0.9.6,getMappingRepositoryInstance,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,3,1,0,0,0,1,0,1,168,3,4,0,false
1.0.1,toHelperParameters,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,6,1,2,1,0,1,1,0,529,2,3,0,false
0.9.6,newMetaDataFactoryInstance,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.6,whereInt,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,3,1,0,0,0,0,0,0,168,3,5,0,false
1.0.2,setMeta,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,3,1,1,0,0,0,0,0,612,2,2,0,false
0.9.6,setFlushBeforeQueries,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,4,1,0,0,0,0,0,1,185,3,10,0,false
0.9.7,toModeString,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,8,9,1,0,0,1,2,0,334,3,5,0,false
1.0.2,createSliceProperties,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java,21,6,5,3,0,1,2,0,1,1,4,5,false
0.9.7,getValue,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,8,5,1,0,0,5,12,6,334,3,3,5,false
0.9.7,select,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java,4,1,1,0,0,0,0,1,317,3,4,0,false
0.9.6,comment,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/XMLMetaDataParser.java,7,5,1,0,0,0,0,1,94,2,2,0,false
0.9.0,getSyncWithManagedTransactions,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,3,1,0,0,0,1,0,0,45,3,11,0,false
0.9.0,isManaged,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,3,1,0,0,0,1,0,0,45,3,11,0,false
