release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
1.0.1,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager/java/java.java,writeDetached/1[java.io.ObjectOutput],org.apache.openjpa.kernel.DetachedStateManager.writeDetached/1[java.io.ObjectOutput],5,1,0,0,0,1,0,0,1228,1,1,0,false
0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Localizer/java/java/java.java,get/1[java.lang.String],org.apache.openjpa.lib.util.Localizer.get/1[java.lang.String],3,1,0,0,0,1,27,2,366,2,2,0,false
1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring/java/java.java,setImplicitType/1[java.lang.Class],org.apache.openjpa.kernel.exps.Substring.setImplicitType/1[java.lang.Class],2,1,0,0,0,0,0,0,1211,0,0,0,false
0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement/java/java/java.java,"setBoolean/2[java.lang.String,boolean]","org.apache.openjpa.lib.jdbc.DelegatingCallableStatement.setBoolean/2[java.lang.String,boolean]",3,1,0,0,0,0,0,0,366,0,0,0,false
1.0.3,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java/java.java,setTrackChangesByType/1[boolean],org.apache.openjpa.kernel.BrokerImpl.setTrackChangesByType/1[boolean],4,1,1,0,0,0,0,1,470,2,3,0,false
1.0.3,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractPCData/java/java.java,"toRelationFields/3[org.apache.openjpa.kernel.OpenJPAStateManager,java.lang.Object,org.apache.openjpa.kernel.FetchConfiguration]","org.apache.openjpa.kernel.AbstractPCData.toRelationFields/3[org.apache.openjpa.kernel.OpenJPAStateManager,java.lang.Object,org.apache.openjpa.kernel.FetchConfiguration]",3,1,0,0,0,1,1,0,1228,1,1,0,false
1.0.3,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java/java.java,isDetachedNew/0,org.apache.openjpa.kernel.BrokerImpl.isDetachedNew/0,3,1,0,0,0,1,0,0,470,2,3,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl/java/java/java.java,"settingBooleanField/5[org.apache.openjpa.kernel.PersistenceCapable,int,boolean,boolean,int]","org.apache.openjpa.kernel.StateManagerImpl.settingBooleanField/5[org.apache.openjpa.kernel.PersistenceCapable,int,boolean,boolean,int]",16,5,1,0,1,1,1,6,457,2,3,0,false
0.9.7,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl/java/java.java,getFactoryProxyMap/1[java.lang.Class],org.apache.openjpa.util.ProxyManagerImpl.getFactoryProxyMap/1[java.lang.Class],8,2,2,0,0,1,2,2,1228,1,1,0,false
1.1.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy/java/java.java,"processEagerParallelResult/4[org.apache.openjpa.jdbc.meta.strats.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.strats.JDBCStore,org.apache.openjpa.jdbc.kernel.JDBCFetchConfiguration,org.apache.openjpa.jdbc.meta.strats.Result]","org.apache.openjpa.jdbc.meta.strats.RelationFieldStrategy.processEagerParallelResult/4[org.apache.openjpa.jdbc.meta.strats.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.strats.JDBCStore,org.apache.openjpa.jdbc.kernel.JDBCFetchConfiguration,org.apache.openjpa.jdbc.meta.strats.Result]",17,3,7,0,0,1,1,1,1211,1,8,1,false
