release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.1,org/apache/bookkeeper/statelib/impl/kv/RocksdbKVStore.java,close/0,org.apache.bookkeeper.statelib.impl.kv.RocksdbKVStore.close/0,15,3,1,0,0,1,0,4,-1,-1,0,0,false
4.2.1,org/apache/bookkeeper/proto/BookieClientImpl.java,"completeRead/6[int,long,long,org.apache.bookkeeper.proto.ByteBuf,org.apache.bookkeeper.proto.ReadEntryCallback,java.lang.Object]","org.apache.bookkeeper.proto.BookieClientImpl.completeRead/6[int,long,long,org.apache.bookkeeper.proto.ByteBuf,org.apache.bookkeeper.proto.ReadEntryCallback,java.lang.Object]",13,2,0,0,1,0,2,2,-1,-1,0,0,false
4.2.1,org/apache/bookkeeper/bookie/IndexInMemPageMgr$InMemPageCollection.java,putPage/1[org.apache.bookkeeper.bookie.LedgerEntryPage],org.apache.bookkeeper.bookie.IndexInMemPageMgr.InMemPageCollection.putPage/1[org.apache.bookkeeper.bookie.LedgerEntryPage],16,4,6,0,0,1,1,1,-1,-1,0,1,false
4.2.1,org/apache/bookkeeper/net/NetworkTopologyImpl.java,chooseRandom/1[java.lang.String],org.apache.bookkeeper.net.NetworkTopologyImpl.chooseRandom/1[java.lang.String],14,2,0,0,1,2,0,1,-1,-1,0,2,false
4.2.1,org/apache/bookkeeper/common/util/OrderedExecutor$ContextPreservingRunnable.java,ContextPreservingRunnable/1[java.lang.Runnable],org.apache.bookkeeper.common.util.OrderedExecutor.ContextPreservingRunnable.ContextPreservingRunnable/1[java.lang.Runnable],4,1,2,0,0,0,1,0,-1,-1,0,0,false
4.2.1,org/apache/bookkeeper/client/RackawareEnsemblePlacementPolicy.java,RackawareEnsemblePlacementPolicy/0,org.apache.bookkeeper.client.RackawareEnsemblePlacementPolicy.RackawareEnsemblePlacementPolicy/0,3,1,0,0,0,0,2,0,-1,-1,0,0,false
4.2.1,org/apache/distributedlog/api/DistributedLogManager.java,getInputStream/1[org.apache.distributedlog.api.DLSN],org.apache.distributedlog.api.DistributedLogManager.getInputStream/1[org.apache.distributedlog.api.DLSN],1,1,0,0,0,0,0,0,-1,-1,0,0,false
4.2.1,org/apache/distributedlog/ReadAheadEntryReader.java,isReadAheadCaughtUp/0,org.apache.distributedlog.ReadAheadEntryReader.isReadAheadCaughtUp/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
4.2.1,org/apache/distributedlog/ReadUtils.java,"asyncReadRecord/13[java.lang.String,org.apache.distributedlog.LogSegmentMetadata,boolean,boolean,boolean,int,int,java.util.concurrent.atomic.AtomicInteger,java.util.concurrent.ExecutorService,org.apache.distributedlog.LogSegmentEntryStore,org.apache.distributedlog.LogRecordSelector,boolean,long]","org.apache.distributedlog.ReadUtils.asyncReadRecord/13[java.lang.String,org.apache.distributedlog.LogSegmentMetadata,boolean,boolean,boolean,int,int,java.util.concurrent.atomic.AtomicInteger,java.util.concurrent.ExecutorService,org.apache.distributedlog.LogSegmentEntryStore,org.apache.distributedlog.LogRecordSelector,boolean,long]",21,1,2,0,0,1,2,0,-1,-1,0,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration/java.java,setHttpServerEnabled/1[boolean],org.apache.bookkeeper.conf.ServerConfiguration.setHttpServerEnabled/1[boolean],4,1,0,0,0,1,0,0,482,2,3,0,true
4.2.1,com/scurrilous/circe/impl/IntStatefulLongHash.java,"update/2[long,long]","com.scurrilous.circe.impl.IntStatefulLongHash.update/2[long,long]",3,1,0,0,0,0,0,0,-1,-1,0,0,false
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel/java.java,preAllocIfNeeded/1[long],org.apache.bookkeeper.bookie.JournalChannel.preAllocIfNeeded/1[long],7,2,1,2,0,0,0,0,466,1,1,0,false
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration/java.java,setClientWriteBufferLowWaterMark/1[int],org.apache.bookkeeper.conf.ClientConfiguration.setClientWriteBufferLowWaterMark/1[int],4,1,0,0,0,1,0,0,511,2,2,0,false
4.2.1,org/apache/distributedlog/impl/BKNamespaceDriver.java,getWriterZKC/0,org.apache.distributedlog.impl.BKNamespaceDriver.getWriterZKC/0,3,1,0,0,0,1,1,0,-1,-1,0,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback/java.java,"addComplete/4[int,org.apache.bookkeeper.client.LedgerHandle,long,java.lang.Object]","org.apache.bookkeeper.client.AsyncCallback.AddCallback.addComplete/4[int,org.apache.bookkeeper.client.LedgerHandle,long,java.lang.Object]",1,1,0,0,0,0,1,0,412,0,0,0,false
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient/java.java,recycle/0,org.apache.bookkeeper.proto.PerChannelBookieClient.ReadV2ResponseCallback.recycle/0,8,1,5,0,0,0,1,0,412,3,7,0,false
4.2.1,org/apache/bookkeeper/common/component/LifecycleComponent.java,start/0,org.apache.bookkeeper.common.component.LifecycleComponent.start/0,1,1,0,0,0,0,1,0,-1,-1,0,0,false
4.2.1,org/apache/bookkeeper/statelib/impl/mvcc/MVCCStoreImpl.java,getNumber/1[K],org.apache.bookkeeper.statelib.impl.mvcc.MVCCStoreImpl.getNumber/1[K],15,3,2,1,2,2,0,1,-1,-1,0,5,false
4.2.1,org/apache/distributedlog/BKSyncLogReader.java,"readBulk/2[boolean,int]","org.apache.distributedlog.BKSyncLogReader.readBulk/2[boolean,int]",14,3,4,0,0,1,0,1,-1,-1,0,0,false
