loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
3,1,0,0,0,1,0,0,132,0,0,0,FALSO
10,2,1,0,0,0,2,1,56,1,2,0,FALSO
4,1,0,0,0,1,0,0,196,1,2,0,FALSO
7,2,1,2,0,0,0,0,125,1,2,0,FALSO
17,5,2,0,0,4,0,2,84,1,1,1,FALSO
4,1,0,0,0,1,0,0,225,2,3,0,FALSO
8,1,5,0,0,0,1,0,196,3,10,0,FALSO
3,1,0,0,0,1,0,0,196,1,2,0,FALSO
3,1,0,0,0,1,0,0,204,2,2,0,FALSO
3,1,0,0,0,0,0,0,84,1,1,0,FALSO
10,2,3,0,0,0,0,1,196,0,0,1,FALSO
3,1,0,0,0,1,0,0,225,2,2,0,FALSO
3,1,0,0,0,1,1,0,196,1,2,0,FALSO
24,5,3,0,0,2,1,1,229,1,1,1,FALSO
1,1,0,0,0,0,0,0,196,1,1,0,FALSO
20,5,6,0,0,1,0,1,196,1,4,0,FALSO
6,1,0,0,0,1,2,1,96,3,6,0,FALSO
3,1,0,0,0,1,0,1,56,1,2,0,FALSO
3,1,0,0,0,1,1,0,225,2,3,0,FALSO
3,1,0,1,0,1,0,2,225,2,3,1,FALSO
3,1,0,0,0,0,0,0,125,1,2,0,FALSO
4,1,0,0,0,0,0,0,229,1,1,0,FALSO
7,2,1,1,0,1,0,0,84,1,1,0,FALSO
3,1,0,0,0,1,8,0,229,1,1,0,FALSO
3,1,0,0,0,0,0,0,196,1,2,0,FALSO
5,1,0,0,0,1,0,0,196,1,2,0,FALSO
3,2,0,0,0,1,10,0,196,0,0,0,FALSO
3,1,0,0,0,0,0,0,56,2,3,0,FALSO
17,2,5,0,0,1,0,5,196,3,10,0,FALSO
4,1,0,0,0,1,0,1,225,2,2,0,FALSO
4,1,1,0,0,1,0,0,196,1,1,0,FALSO
5,1,0,0,0,0,0,2,196,3,10,0,FALSO
22,5,4,0,1,5,0,0,196,3,10,4,FALSO
3,1,0,0,0,1,0,1,229,1,1,2,FALSO
10,5,0,0,0,2,0,0,196,1,4,0,FALSO
9,1,2,0,0,0,0,0,268,2,4,0,FALSO
64,9,6,1,1,4,1,5,229,1,1,0,FALSO
6,2,0,0,0,1,5,0,196,3,10,1,FALSO
4,1,1,0,0,0,0,2,229,1,1,0,FALSO
3,1,0,0,0,1,1,0,132,0,0,0,FALSO
3,1,0,1,0,1,0,0,225,2,3,0,FALSO
3,1,0,0,0,1,0,0,196,0,0,0,FALSO
3,1,0,0,0,1,0,0,196,3,6,0,FALSO
9,3,1,1,0,1,2,0,196,1,4,2,FALSO
2,1,0,0,0,0,0,0,196,3,10,0,FALSO
5,1,1,0,0,1,1,1,196,3,10,1,FALSO
3,1,0,0,0,1,2,0,225,2,3,0,FALSO
47,12,2,1,0,4,0,3,196,3,10,2,FALSO
3,1,0,0,0,1,0,1,196,1,1,2,FALSO
14,4,3,0,0,0,8,0,196,3,10,0,FALSO
10,3,3,0,0,1,1,1,268,2,4,0,FALSO
3,1,0,0,0,1,0,0,56,2,3,0,FALSO
7,2,3,0,0,0,0,44,225,2,2,0,FALSO
6,2,0,0,0,1,0,1,56,2,3,0,FALSO
6,2,0,0,0,2,2,0,196,1,2,0,FALSO
4,1,0,0,0,1,0,1,196,1,4,0,FALSO
3,1,0,0,0,1,3,0,229,1,1,0,FALSO
3,1,0,0,0,1,0,0,229,1,1,0,FALSO
