release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.0,org/apache/bookkeeper/statelib/impl/kv/RocksdbKVStore.java,close/0,org.apache.bookkeeper.statelib.impl.kv.RocksdbKVStore.close/0,16,3,1,0,0,1,0,4,-1,-1,0,0,false
4.2.0,org/apache/bookkeeper/proto/BookieClientImpl.java,"completeRead/6[int,long,long,org.apache.bookkeeper.proto.ByteBuf,org.apache.bookkeeper.proto.ReadEntryCallback,java.lang.Object]","org.apache.bookkeeper.proto.BookieClientImpl.completeRead/6[int,long,long,org.apache.bookkeeper.proto.ByteBuf,org.apache.bookkeeper.proto.ReadEntryCallback,java.lang.Object]",13,2,0,0,1,0,1,1,-1,-1,0,0,false
4.2.1,org/apache/bookkeeper/bookie/IndexInMemPageMgr$InMemPageCollection.java,putPage/1[org.apache.bookkeeper.bookie.LedgerEntryPage],org.apache.bookkeeper.bookie.IndexInMemPageMgr.InMemPageCollection.putPage/1[org.apache.bookkeeper.bookie.LedgerEntryPage],16,4,6,0,0,1,1,1,-1,-1,0,1,false
4.2.0,org/apache/bookkeeper/net/NetworkTopologyImpl.java,chooseRandom/1[java.lang.String],org.apache.bookkeeper.net.NetworkTopologyImpl.chooseRandom/1[java.lang.String],14,2,0,0,1,2,0,1,-1,-1,0,2,false
4.2.0,org/apache/bookkeeper/common/util/OrderedExecutor$ContextPreservingRunnable.java,ContextPreservingRunnable/1[java.lang.Runnable],org.apache.bookkeeper.common.util.OrderedExecutor.ContextPreservingRunnable.ContextPreservingRunnable/1[java.lang.Runnable],4,1,2,0,0,0,1,0,-1,-1,0,0,false
4.2.0,org/apache/distributedlog/ReadAheadEntryReader.java,isReadAheadCaughtUp/0,org.apache.distributedlog.ReadAheadEntryReader.isReadAheadCaughtUp/0,3,1,0,0,0,1,0,0,-1,-1,0,0,false
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration/java.java,setHttpServerEnabled/1[boolean],org.apache.bookkeeper.conf.ServerConfiguration.setHttpServerEnabled/1[boolean],4,1,0,0,0,1,0,0,482,2,3,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel/java.java,preAllocIfNeeded/1[long],org.apache.bookkeeper.bookie.JournalChannel.preAllocIfNeeded/1[long],7,2,1,2,0,0,2,0,466,1,1,0,false
4.2.0,org/apache/bookkeeper/discover/RegistrationManager.java,isBookieRegistered/1[org.apache.bookkeeper.discover.BookieId],org.apache.bookkeeper.discover.RegistrationManager.isBookieRegistered/1[org.apache.bookkeeper.discover.BookieId],1,1,0,0,0,0,0,0,-1,-1,0,0,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration/java.java,setClientWriteBufferLowWaterMark/1[int],org.apache.bookkeeper.conf.ClientConfiguration.setClientWriteBufferLowWaterMark/1[int],4,1,0,0,0,1,0,0,441,1,4,0,false
