release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.7,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java/java/java/java/java/java/java/java.java,"toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]","org.apache.openjpa.kernel.QueryImpl.toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]",13,11,6,0,0,2,1,4,457,1,3,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool/java/java/java/java/java/java/java/java/java/java/java/java.java,"run/4[org.apache.openjpa.conf.OpenJPAConfiguration,java.lang.String[],org.apache.openjpa.enhance.ApplicationIdTool.Flags,java.lang.ClassLoader]","org.apache.openjpa.enhance.ApplicationIdTool.run/4[org.apache.openjpa.conf.OpenJPAConfiguration,java.lang.String[],org.apache.openjpa.enhance.ApplicationIdTool.Flags,java.lang.ClassLoader]",39,9,11,0,0,1,2,13,1228,0,0,4,false
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Localizer/java/java/java/java/java/java/java/java/java/java/java/java.java,get/1[java.lang.String],org.apache.openjpa.lib.util.Localizer.get/1[java.lang.String],3,1,0,0,0,1,0,1,1137,0,0,0,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math/java/java/java/java/java/java/java/java/java/java/java/java.java,"initialize/3[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.kernel.exps.JDBCStore,boolean]","org.apache.openjpa.jdbc.kernel.exps.Math.initialize/3[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.kernel.exps.JDBCStore,boolean]",5,1,1,0,0,0,0,1,1211,0,0,0,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring/java/java/java/java/java/java/java/java/java/java/java/java.java,setImplicitType/1[java.lang.Class],org.apache.openjpa.jdbc.kernel.exps.Substring.setImplicitType/1[java.lang.Class],2,1,0,0,0,0,0,0,1211,0,0,0,false
0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement/java/java/java/java/java/java/java/java/java/java/java/java.java,"setBoolean/2[java.lang.String,boolean]","org.apache.openjpa.lib.jdbc.DelegatingCallableStatement.setBoolean/2[java.lang.String,boolean]",3,1,0,0,0,0,0,0,1137,1,1,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/SequenceMetaData/java/java/java/java/java/java/java/java/java/java/java/java.java,newPluginValue/1[java.lang.String],org.apache.openjpa.meta.SequenceMetaData.newPluginValue/1[java.lang.String],3,1,0,0,0,1,1,0,1228,0,0,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java/java/java/java/java/java/java/java/java/java/java/java.java,getDataCacheManager/0,org.apache.openjpa.conf.OpenJPAConfiguration.getDataCacheManager/0,1,1,0,0,0,0,0,0,1228,4,7,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator/java/java/java/java/java/java/java/java/java/java/java/java.java,next/0,org.apache.openjpa.persistence.Generator.next/0,3,1,0,0,0,1,0,0,1228,0,0,0,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression/java/java/java/java/java/java/java/java/java/java/java/java.java,hasContainsExpression/0,org.apache.openjpa.jdbc.kernel.exps.NotContainsExpression.hasContainsExpression/0,3,1,0,0,0,1,0,0,1211,1,1,0,false
0.9.7,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java/java/java/java/java/java/java/java/java/java/java/java.java,isDetachedNew/0,org.apache.openjpa.kernel.BrokerImpl.isDetachedNew/0,3,1,0,0,0,1,3,0,600,0,0,0,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping/java/java/java/java/java/java/java/java/java/java/java/java.java,"isCustomInsert/2[org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore]","org.apache.openjpa.jdbc.meta.ClassMapping.isCustomInsert/2[org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore]",3,1,0,0,0,1,0,1,1211,1,1,1,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping/java/java/java/java/java/java/java/java/java/java/java/java.java,"appendIsNotNull/3[org.apache.openjpa.jdbc.meta.SQLBuffer,org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.Joins]","org.apache.openjpa.jdbc.meta.FieldMapping.appendIsNotNull/3[org.apache.openjpa.jdbc.meta.SQLBuffer,org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.Joins]",3,1,0,0,0,0,0,2,1211,1,3,1,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy/java/java/java/java/java/java/java/java/java/java/java/java.java,getAllRowDeletes/0,org.apache.openjpa.jdbc.meta.strats.StateComparisonVersionStrategy.CustomUpdate.getAllRowDeletes/0,3,1,0,0,0,0,0,0,1211,0,0,0,false
0.9.7,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl/java/java/java/java/java/java/java/java/java/java/java/java.java,getFactoryProxyMap/1[java.lang.Class],org.apache.openjpa.util.ProxyManagerImpl.getFactoryProxyMap/1[java.lang.Class],8,2,2,0,0,1,2,7,1228,1,1,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/FinderQueryImpl/java/java/java/java/java/java/java/java/java/java/java/java.java,"singleResult/2[org.apache.openjpa.kernel.ResultObjectProvider,org.apache.openjpa.kernel.StoreQuery.Range]","org.apache.openjpa.kernel.QueryImpl.singleResult/2[org.apache.openjpa.kernel.ResultObjectProvider,org.apache.openjpa.kernel.StoreQuery.Range]",19,6,3,1,1,3,2,0,261,0,0,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java/java/java/java/java/java/java/java/java/java/java/java.java,setIgnoreChanges/1[boolean],org.apache.openjpa.conf.OpenJPAConfiguration.setIgnoreChanges/1[boolean],1,1,0,0,0,0,0,0,1228,4,7,0,false
0.9.7,openjpa-kernel/src/main/java/org/apache/openjpa/event/BrokerFactoryEventManager/java/java/java/java/java/java/java/java/java/java/java/java.java,getNontransactionalRead/0,org.apache.openjpa.kernel.Broker.getNontransactionalRead/0,1,1,0,0,0,0,1,0,899,0,0,0,false
0.9.7,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCDataGenerator/java/java/java/java/java/java/java/java/java/java/java/java.java,addNewEmbedded/1[org.apache.openjpa.enhance.BCClass],org.apache.openjpa.enhance.PCDataGenerator.addNewEmbedded/1[org.apache.openjpa.enhance.BCClass],14,1,2,0,0,0,1,0,1228,1,1,12,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/Extensions/java/java/java/java/java/java/java/java/java/java/java/java.java,"getEmbeddedExtensions/3[java.lang.String,java.lang.String,boolean]","org.apache.openjpa.meta.Extensions.getEmbeddedExtensions/3[java.lang.String,java.lang.String,boolean]",14,9,5,0,0,3,1,2,1228,0,0,0,false
