release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData/java.java,"setSource/2[java.io.File,int]","org.apache.openjpa.meta.ClassMetaData.setSource/2[java.io.File,int]",4,1,2,0,0,0,2,0,723,0,0,0,false
1.1.0,org/apache/openjpa/persistence/util/SourceCode.java,isValidToken/1[java.lang.String],org.apache.openjpa.persistence.util.SourceCode.isValidToken/1[java.lang.String],3,3,0,0,0,1,4,1,-1,-1,0,0,false
1.1.0,org/apache/openjpa/persistence/criteria/CriteriaExpressionBuilder.java,"getQueryExpressions/2[org.apache.openjpa.persistence.criteria.ExpressionFactory,org.apache.openjpa.persistence.criteria.CriteriaQueryImpl]","org.apache.openjpa.persistence.criteria.CriteriaExpressionBuilder.getQueryExpressions/2[org.apache.openjpa.persistence.criteria.ExpressionFactory,org.apache.openjpa.persistence.criteria.CriteriaQueryImpl]",13,1,3,0,0,1,3,8,-1,-1,0,0,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AbstractExpressionBuilder/java.java,"traversePath/2[org.apache.openjpa.kernel.exps.Path,java.lang.String]","org.apache.openjpa.kernel.exps.AbstractExpressionBuilder.traversePath/2[org.apache.openjpa.kernel.exps.Path,java.lang.String]",3,1,0,0,0,1,0,1,723,0,0,0,false
1.1.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression/java.java,"locate/2[java.lang.String,org.apache.openjpa.persistence.query.Expression]","org.apache.openjpa.persistence.query.Expression.locate/2[java.lang.String,org.apache.openjpa.persistence.query.Expression]",1,1,0,0,0,0,0,0,706,0,0,0,false
1.1.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData/java.java,nullsAreSortedAtEnd/0,org.apache.openjpa.lib.jdbc.DelegatingDatabaseMetaData.nullsAreSortedAtEnd/0,3,1,0,0,0,1,0,0,632,0,0,0,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection/java.java,"getLong/2[java.lang.Object,java.lang.reflect.Field]","org.apache.openjpa.enhance.Reflection.getLong/2[java.lang.Object,java.lang.reflect.Field]",10,4,0,0,1,2,0,2,641,0,0,0,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java.java,getDataCacheManager/0,org.apache.openjpa.conf.OpenJPAConfiguration.getDataCacheManager/0,1,1,0,0,0,0,0,0,723,0,0,0,false
1.1.0,org/apache/openjpa/persistence/criteria/CriteriaExpressionBuilder.java,"evalFetchJoin/3[org.apache.openjpa.persistence.criteria.QueryExpressions,org.apache.openjpa.persistence.criteria.ExpressionFactory,org.apache.openjpa.persistence.criteria.CriteriaQueryImpl]","org.apache.openjpa.persistence.criteria.CriteriaExpressionBuilder.evalFetchJoin/3[org.apache.openjpa.persistence.criteria.QueryExpressions,org.apache.openjpa.persistence.criteria.ExpressionFactory,org.apache.openjpa.persistence.criteria.CriteriaQueryImpl]",19,8,7,0,0,1,1,1,-1,-1,0,0,false
1.1.0,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java.java,setTrackChangesByType/1[boolean],org.apache.openjpa.kernel.BrokerImpl.setTrackChangesByType/1[boolean],4,1,1,0,0,0,0,1,95,0,0,0,false
1.1.0,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java.java,getAutoDetach/0,org.apache.openjpa.kernel.BrokerImpl.getAutoDetach/0,3,1,0,0,0,1,0,0,95,0,0,0,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java.java,getBrokerImpl/0,org.apache.openjpa.conf.OpenJPAConfiguration.getBrokerImpl/0,1,1,0,0,0,0,1,0,723,0,0,0,false
1.1.0,org/apache/openjpa/persistence/criteria/PredicateImpl.java,negate/0,org.apache.openjpa.persistence.criteria.PredicateImpl.negate/0,5,1,2,0,0,1,0,1,-1,-1,0,0,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData/java.java,validateDataCache/0,org.apache.openjpa.meta.ClassMetaData.validateDataCache/0,9,6,3,0,0,2,1,3,723,0,0,0,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl/java.java,getDataCacheManager/0,org.apache.openjpa.conf.OpenJPAConfigurationImpl.getDataCacheManager/0,3,1,0,0,0,1,0,0,723,0,0,0,false
1.1.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary/java.java,useJCC/0,org.apache.openjpa.jdbc.sql.InformixDictionary.useJCC/0,3,1,0,0,0,1,0,0,706,2,3,0,false
1.1.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer/java.java,append/1[java.lang.String],org.apache.openjpa.jdbc.sql.SQLBuffer.append/1[java.lang.String],4,1,0,0,0,1,19,0,706,1,1,0,false
1.1.0,org/apache/openjpa/persistence/criteria/FetchPathImpl.java,"fetch/2[org.apache.openjpa.persistence.criteria.SingularAttribute<? super X,Y>,org.apache.openjpa.persistence.criteria.JoinType]","org.apache.openjpa.persistence.criteria.FetchPathImpl.fetch/2[org.apache.openjpa.persistence.criteria.SingularAttribute<? super X,Y>,org.apache.openjpa.persistence.criteria.JoinType]",3,1,0,0,0,1,0,1,-1,-1,0,0,false
1.1.0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection/java.java,"setSetterMethod/3[java.lang.Class<?>,java.lang.String,java.lang.reflect.Method]","org.apache.openjpa.enhance.Reflection.setSetterMethod/3[java.lang.Class<?>,java.lang.String,java.lang.reflect.Method]",8,2,2,0,0,0,1,0,641,0,0,0,true
