release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
2.0.0-M1,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData/java.java,"setSource/2[java.io.File,int]","org.apache.openjpa.meta.ClassMetaData.setSource/2[java.io.File,int]",4,1,2,0,0,0,2,0,974,2,5,0,false
2.0.0-M1,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager/java.java,"initialize/2[java.lang.Class,org.apache.openjpa.kernel.PCState]","org.apache.openjpa.kernel.ObjectIdStateManager.initialize/2[java.lang.Class,org.apache.openjpa.kernel.PCState]",3,1,0,0,0,0,0,0,974,0,0,0,false
2.0.0-M1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,"toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]","org.apache.openjpa.kernel.QueryImpl.toResult/4[org.apache.openjpa.kernel.StoreQuery,StoreQuery.Executor,org.apache.openjpa.kernel.ResultObjectProvider,StoreQuery.Range]",14,11,6,0,0,2,1,8,974,3,6,0,true
2.0.0-M1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl/java.java,assertCandidateType/0,org.apache.openjpa.kernel.QueryImpl.assertCandidateType/0,3,3,0,0,0,0,1,1,974,3,6,0,true
2.0.0-M1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping/java.java,"wherePrimaryKey/3[org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore]","org.apache.openjpa.jdbc.meta.FieldMapping.wherePrimaryKey/3[org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore]",4,2,0,0,0,0,0,1,957,3,4,0,false
2.0.0-M1,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedStoreManager/java.java,newQuery/1[java.lang.String],org.apache.openjpa.slice.jdbc.DistributedStoreManager.newQuery/1[java.lang.String],8,2,2,0,0,1,0,2,346,2,7,0,false
2.0.0-M1,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection/java.java,"getLong/2[java.lang.Object,java.lang.reflect.Field]","org.apache.openjpa.enhance.Reflection.getLong/2[java.lang.Object,java.lang.reflect.Field]",10,4,0,0,1,2,0,2,892,1,1,0,false
2.0.0-M1,org/apache/openjpa/jdbc/kernel/PreparedQueryImpl.java,"PreparedQueryImpl/2[java.lang.String,org.apache.openjpa.jdbc.kernel.Query]","org.apache.openjpa.jdbc.kernel.PreparedQueryImpl.PreparedQueryImpl/2[java.lang.String,org.apache.openjpa.jdbc.kernel.Query]",3,1,0,0,0,0,1,0,-1,-1,0,0,false
2.0.0-M1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl/java.java,getWriteLockLevel/0,org.apache.openjpa.kernel.FetchConfigurationImpl.getWriteLockLevel/0,3,1,0,0,0,1,0,0,957,0,0,0,true
2.0.0-M1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping/java.java,"orderRelation/3[org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.ClassMapping,org.apache.openjpa.jdbc.meta.Joins]","org.apache.openjpa.jdbc.meta.FieldMapping.orderRelation/3[org.apache.openjpa.jdbc.meta.Select,org.apache.openjpa.jdbc.meta.ClassMapping,org.apache.openjpa.jdbc.meta.Joins]",4,3,2,0,0,0,0,1,957,3,4,0,false
